trait_id,intitulé_trait,trait_description,élevé_description,élevé_potentialité_1,élevé_question_potentialité_1,élevé_potentialité_2,élevé_risque_1,élevé_question_risque_1,élevé_risque_2,bas_description,bas_potentialité_1,bas_question_potentialité_1,bas_potentialité_2,bas_risque_1,bas_question_risque_1,bas_risque_2,trait_gender
C5,Persévérance,"le niveau de persévérance ; la capacité à poursuivre une tâche malgré l'ennui, les difficultés ou les distractions.",{{first_name}} aborde les tâches de manière persévérante et s’estime capable de se couper des distractions et envies lorsqu'{{pronom_minuscule}} agit.,Il s'agit d'une personne capable de mener à bien les tâches les plus fastidieuses et/ou inintéressantes,"Quelle a été la tâche la plus répétitive et monotone que vous avez dû accomplir dans votre carrière, et comment avez-vous réussi à la mener à terme ?",{{first_name}} mène ses projets à leur terme,{{first_name}} préfère finaliser une tâche en cours ce qui peut le conduire à ne pas systématiquement prioriser la tâche la plus urgente,"Pouvez-vous me parler d'un moment dans votre carrière où il était difficile pour vous de lâcher un projet en cours, malgré la nécessité de vous consacrer à un autre projet plus urgent ? Comment avez-vous abordé cette situation ?",{{pronom_majuscule}} manque d’opportunisme ce qui l’empêche de trouver la méthode la plus adaptée à la réalisation d’une tâche fastidieuse,{{first_name}} a tendance à alterner entre ses tâches et à réaliser plusieurs d’entre elles simultanément.,{{first_name}} est capable de rapidement s'adapter à l'urgence sans rester bloqué sur la tâche en cours,"Avez-vous déjà du abandonner un projet dans lequel vous étiez fortement investi pour basculer sur un nouveau projet imposé ? Si oui, comment avez-vous géré cette transition ?",Il s'agit d'une personne qui a une grande facilité à changer de tâche,{{first_name}} peut avoir du mal à réaliser des tâches fastidieuses ou qu'{{pronom_minuscule}} juge inintéressantes,"Avez-vous déjà dû faire preuve de persévérance pour mener à bien une tâche particulièrement fastidieuse ou inintéressante pour vous ? Si oui, comment vous y êtes-vous pris ?",Il est difficile pour {{first_name}} d’aller au bout de certaines tâches,f
C6,Anticipation,"le niveau de prudence, de planification et de réflexion.",{{first_name}} est une personne extrêmement prudente et réfléchie.,{{first_name}} préfère jauger entièrement une situation avant d'agir afin de minimiser les erreurs,"Pouvez-vous partager avec moi un moment de votre carrière où vous avez vraiment pris le temps de bien peser le pour et le contre d'une situation avant de prendre une décision, et quel en a été l'impact ?",C'est une personne qui anticipe les problèmes et conséquences sur le long terme et planifie ses actions,{{first_name}} a généralement du mal à prendre des risques,"Pouvez-vous me raconter une situation où vous avez dû prendre une décision risquée dans votre vie professionnelle ? Si oui, comment vous avez géré les conséquences ?",Il s'agit d'une personne qui met du temps avant de passer à l'action,{{first_name}} est une personne qui aime être dans le feu de l’action et qui réagit spontanément aux différentes situations qui se présentent à  {{pronom_reflechi}} .,{{first_name}} est capable de prendre des décisions rapidement pour faire avancer les choses,Pouvez-vous me décrire une situation spécifique dans votre carrière où vous avez dû prendre une décision très rapide pour résoudre un problème ou surmonter un défi ?,Il s'agit d'une personne instinctive qui passe facilement à l’action,Il arrive à {{first_name}} d'agir sans réfléchir aux conséquences,"Avez-vous déjà vécu une expérience professionnelle dans laquelle il a été bénéfique de prendre le temps de réfléchir à toutes les conséquences avant d'agir ? Si oui, je vous invite à partager cette expérience.",{{first_name}} n'est pas tourné vers la planification et l'anticipation au risque de devoir faire machine arrière,f
E1,Chaleur,"la capacité à développer de l'intimité dans les relations interpersonnelles, à faire preuve d'affection, d'amabilité ; facilité à former des liens étroits.",{{first_name}} est particulièrement avenant et amical avec les autres.,{{first_name}} a tendance à mettre ses interlocuteurs à l'aise,"Pouvez-vous me donner un exemple concret d'une situation professionnelle où vous avez réussi à mettre à l'aise une personne ou un groupe initialement tendu ou réticent, et comment avez-vous procédé pour y parvenir ?",Il est facile pour {{first_name}} de nouer des relations cordiales avec les autres,{{first_name}} peut avoir du mal à faire la part des choses entre les enjeux professionnels et les enjeux affectifs,Pouvez-vous me donner un exemple de situation où gérer vos relations personnelles avec des collègues ou des clients a présenté un défi dans votre prise de décision ou votre comportement professionnel ?,Son attitude amicale peut passer pour une forme de naïveté,{{first_name}} garde de la distance entre  {{pronom_reflechi}}  et les autres.,{{first_name}} est plutôt réservé et n’adopte pas de comportements oppressants,Comment vous-y prenez-vous pour vous assurer d'éviter les comportements oppressants envers vos collègues ?,{{first_name}} garde de la distance entre  {{pronom_reflechi}} et les autres.,{{first_name}} peut donner l'impression d'être une personne froide et distante,"Pouvez-vous me raconter une situation professionnelle où vous avez su vous montrer chaleureux envers un collègue ou un client, afin de favoriser la collaboration ?",Il n'est pas évident d'apprendre à connaître {{first_name}},f
E2,Sociabilité,la préférence pour la compagnie d'autres personnes et les situations sociales.,{{first_name}} aime faire partie d'un groupe et échanger avec de nombreuses personnes.,{{first_name}} est particulièrement sociable et est à l’aise au sein de groupes,Dans quel projet ou situation professionnelle spécifique avez-vous joué un rôle clé grâce à votre aisance sociale et votre capacité à dynamiser un groupe de travail ?,{{pronom_majuscule}} apprécie le travail collectif et est particulièrement à l'aise dans un travail qui nécessite de nombreuses interactions,{{pronom_majuscule}} est nécessaire pour {{pronom_reflechi}} d'avoir des interactions fréquentes pour garder un bon niveau d‘énergie,"Avez-vous déjà rencontré des difficultés professionnelles liées à un manque d'interactions fréquentes avec vos collègues ou clients, et comment cela a-t-il affecté votre niveau d'énergie et d'engagement dans votre travail ?",{{first_name}} peut se lasser rapidement d'un travail solitaire,{{first_name}} préfère les échanges en petit comité à ceux en groupe plus élargi,"{{first_name}} aime travailler seul, ce qui peut favoriser sa concentration",Aimez-vous travailler seul ? Si oui comment est-ce que cela affecte votre concentration ? Veuillez répondre en partageant une expérience.,{{pronom_majuscule}} n’a pas besoin de nombreuses interactions pour rester productif,"Si son travail consiste principalement à interagir avec les autres, il peut demander beaucoup d’énergie à {{first_name}}","Pouvez-vous me donner un exemple concret d'une situation professionnelle où vous avez dû interagir intensément et fréquemment avec les autres, et expliquer comment cela a influencé votre niveau d'énergie ou votre motivation au travail ?",Il peut avoir tendance à éviter les stimulations sociales,f
E3,Leadership,"la tendance à dominer, à prendre le leadership, l’ascendant dans les interactions.",{{first_name}} aime décider pour les autres et guider un groupe.,{{first_name}} prend facilement la tête d'un groupe,"Pouvez-vous me raconter une situation spécifique où vous avez dû prendre spontanément le rôle de leader dans un contexte professionnel, et comment vous avez géré cette situation ?",{{pronom_majuscule}} assume des prises de décisions qui ont une incidence sur les autres,{{first_name}} a tendance à trop s'imposer et à diriger même lorsque ce n'est pas souhaitable,"Pourriez-vous me décrire une situation professionnelle où vous avez dû prendre un rôle de soutien plutôt que de leader ? Si oui, comment avez-vous géré cette expérience ?",Il s'agit d'une personne qui peut avoir du mal à être dirigée,{{first_name}} n'aime pas prendre la tête d'un groupe.,{{first_name}} est à l’aise lorsqu’il s’agit de travailler de manière indépendante et/ou pour suivre les directives d’un groupe ou de la hiérarchie,Pouvez-vous me donner un exemple concret d'une situation où vous avez suivi avec succès les directives de la hiérarchie ?,{{pronom_majuscule}} ne dicte pas aux autres ce qu’ils doivent faire,{{first_name}} peut avoir des difficultés à assumer une position de leader,Pouvez-vous me raconter une situation spécifique où vous avez dû prendre un rôle de leader dans votre parcours professionnel ? Comment avez-vous géré les défis associés à ce rôle ?,{{pronom_majuscule}} évite de prendre la responsabilité de décisions ayant des répercussions sur les autres,m
E4,Dynamisme,le niveau d’activité dans les actions quotidiennes.,{{first_name}} est une personne très dynamique et active au quotidien.,{{first_name}} aborde ses tâches avec beaucoup d'énergie et aime travailler à un rythme soutenu,"Pouvez-vous me décrire une situation professionnelle où vous avez dû gérer plusieurs tâches simultanément à un rythme soutenu, et comment vous avez maintenu votre énergie et efficacité tout au long de ce processus ?",{{pronom_majuscule}} apprécie de gérer plusieurs projets à la fois,Il est désagréable pour {{first_name}} de réaliser des tâches qui nécessitent une énergie constante et une attitude appliquée,Comment réagissez-vous face à des projets qui exigent de vous une concentration et un engagement énergétique soutenus sur plusieurs semaines ou mois ? Pourriez-vous partager une expérience concrète à ce sujet ?,{{first_name}} a généralement du mal à se concentrer sur un objectif à la fois et a tendance à se disperser,{{first_name}} a un niveau d'activité plutôt faible ; {{pronom_minuscule}} a tendance à aborder ses tâches et actions calmement et de manière posée.,{{first_name}} sait prendre le temps de réaliser une tâche sans se précipiter,Comment gérez-vous les situations où il est nécessaire de travailler lentement et méthodiquement plutôt que rapidement pour garantir la qualité du résultat ? Pouvez-vous me donner un exemple concret tiré de votre expérience professionnelle ?,{{pronom_majuscule}} ne se disperse pas dans de multiples actions,{{first_name}} a du mal à adopter un rythme soutenu,Pouvez-vous me donner un exemple précis d'une situation professionnelle où vous avez dû maintenir un rythme de travail particulièrement soutenu ? Comment avez-vous géré cette situation ?,Naviguer entre plusieurs projets peut être difficile pour {{first_name}},m
E5,Recherche de stimulations,la recherche d’excitation et de stimulation ; préférence pour la couleur et le bruit.,"{{first_name}} a besoin d'animation dans son environnement ; {{pronom_minuscule}} apprécie le bruit et les sollicitations visuelles (mouvements, couleurs) et {{pronom_minuscule}} a tendance à rechercher ces stimulations.",L'animation environnante est agréable pour {{first_name}} et les distractions fréquentes ne le fatiguent pas spécialement,"Pouvez-vous me donner un exemple de situation professionnelle où vous avez dû travailler dans un environnement animé et plein de distractions, et comment cela a influencé votre performance et votre bien-être au travail ?",{{pronom_majuscule}} a souvent une attitude divertissante,{{first_name}} s'ennuie dans des environnements trop calmes,Vous est-il déjà arrivé de vous sentir ennuyé(e) ou démobilisé(e) en raison d'un environnement de travail trop calme ou peu stimulant ?,{{pronom_majuscule}} a tendance à se déconcentrer ainsi qu’à distraire ses collègues,"{{first_name}} n'apprécie pas les environnements animés, l’excès de bruit et de sollicitations visuelles (mouvements, couleurs) et n’a pas tendance à rechercher ces stimulations.",{{first_name}} n’est pas enclin à déconcentrer ses collègues,Êtes-vous capable de passer une journée de travail complète sans solliciter l'attention de vos collègues ? Comment gérez-vous le besoin de stimulation dans ces situations ?,"{{pronom_majuscule}} préfère rester dans un environnement calme et préservé, ce qui est susceptible de favoriser sa concentration",{{first_name}} peut avoir tendance à apporter une atmosphère trop sérieuse au sein d’un groupe,Pouvez-vous me donner un exemple concret d'une situation professionnelle où vous avez dû alléger l'atmosphère sérieuse d'une réunion ou d'un projet? Comment avez-vous procédé ?,{{pronom_majuscule}} est particulièrement dérangé par les distractions environnantes qui le fatiguent facilement,f
E6,Joie,le niveau d’émotions positives ressenties et exprimées.,{{first_name}} se montre très joyeux et enthousiaste au quotidien.,{{first_name}} aborde le futur avec beaucoup d’optimisme,Pourriez-vous me décrire une situation professionnelle difficile que vous avez rencontrée et comment votre vision optimiste de l'avenir vous a aidé à la surmonter ?,Il est facile pour {{first_name}} de se sentir heureux,{{first_name}} peut oublier de prendre en compte les aspects négatifs d'une situation ce qui peut l'empêcher d'en avoir une vision objective,"Avez-vous déjà vécu une situation au travail où vous étiez initialement optimiste à propos d'un projet, mais un collègue ou un supérieur vous a fait réaliser des aspects négatifs que vous n'aviez pas envisagés ? Si oui, comment avez-vous géré cela ?",{{pronom_majuscule}} peut gêner ceux qui se sentent moins bien par son enthousiasme marqué,{{first_name}} ne montre pas ouvertement de signes de joie et a tendance à ressentir de la joie beaucoup moins souvent que la moyenne.,{{first_name}} est une personne plutôt discrète ; {{pronom_minuscule}} exprime sa joie de façon modérée,"Quand vous vivez un événement positif au travail, avez-vous tendance à partager votre joie de manière ouverte et communicative, ou bien à la garder plus discrète et mesurée ?",Le fait que {{first_name}} ne se concentre pas uniquement sur les aspects positifs d’une situation lui permet plus d’objectivité,Il est difficile pour {{first_name}} d’agir avec enthousiasme et entrain,"Parvenez-vous à transmettre votre entrain et votre enthousiasme en entreprise ? Si oui, je vous invite à  raconter une expérience spécifique de votre parcours professionnel afin de me montrer comment vous vous y prenez.",{{first_name}} donne l'impression d'être peu joyeux,f
N1,Anxiété,la tendance à ressentir de l'anxiété.,{{first_name}} vit souvent dans l'inquiétude.,"{{first_name}} anticipe la tournure négative que peuvent prendre les événements, ce qui lui permet d’y être préparé",Pouvez-vous me donner un exemple précis d'une situation professionnelle où vous avez anticipé un résultat négatif et comment vous y avez réagi pour le prévenir ou le gérer ?,{{pronom_majuscule}} ne prend jamais à la légère les risques associés au déroulement d'un projet,{{first_name}} est facilement déstabilisé par l'anxiété et la peur,Avez-vous déjà été confronté à une urgence ou à une crise imprévue au travail ? Comment avez-vous réagi ?,Il est difficile pour {{first_name}} de garder une approche optimiste dans les situations d'incertitude,{{first_name}} est une personne qui ressent très peu d'inquiétude.,{{first_name}} est une personne qui s'inquiète rarement sans raison et n'a pas d'appréhensions particulières,Pouvez-vous me raconter une situation professionnelle où vous avez dû faire face à une incertitude ou un imprévu ? Comment avez-vous géré vos inquiétudes ou appréhensions à ce moment-là ?,{{pronom_majuscule}} n'est pas préocupé par des craintes infondées,{{first_name}} a tendance à envisager les évènements futurs avec une insouciance parfois décorrélée de la réalité,Comment vous y prenez-vous pour anticiper et vous préparer à de futurs événements stressants ou à des échéances importantes dans votre vie professionnelle ? Êtes-vous du genre à prendre de l'avance ?,{{pronom_majuscule}} peut adopter une attitude laissant penser qu’{{pronom_minuscule}} n’accorde pas d‘importance au déroulé des évènements,f
N2,Colère,la tendance à ressentir de la colère et les états émotionnels proches.,"{{first_name}} ressent très souvent de la colère, de l'irritation et/ou de la rancoeur.",{{first_name}} a conscience de ce qui lui convient et de ce qui lui convient moins,Pouvez-vous me décrire une situation au travail où vous avez eu très vite conscience qu'une circonstance ou un comportement allait à l'encontre de vos principes ou de vos besoins professionnels ?,{{pronom_majuscule}} peut se servir de la colère comme un moteur de changement et/ou d'expression de son désaccord,[[S'il|Si elle]] extériorise sa colère {{first_name}} peut paraître désagréable ou être difficile à vivre,Pouvez-vous me parler d'une fois où vous avez été particulièrement frustré au travail ? Comment cela a-t'il affecté votre manière d'interagir avec vos collègues ou supérieurs ?,"[[S'il|Si elle]]  intériorise sa colère, {{first_name}} vit souvent une grande frustration qui peut nuire à sa concentration","{{first_name}} est une personne qui ressent rarement de la colère, de l’irritation et/ou de la rancoeur.",{{first_name}} ne se laisse pas gagner par la colère ; notamment en présence de ses interlocuteurs,Pouvez-vous me raconter une situation spécifique de votre expérience professionnelle où vous avez dû contenir votre colère ? Comment vous y êtes-vous pris ?,{{pronom_majuscule}} ne consomme pas son énergie à entretenir de la rancoeur et reste concentré lors de situations agaçantes,{{first_name}} ne peut pas s'appuyer sur sa colère comme moteur de changement,Pouvez-vous me décrire comment vous gérez les situations où vous êtes en désaccord avec quelqu'un au travail ?,"{{pronom_majuscule}} peut laisser certaines personnes avoir un comportement inapproprié, déplacé ou irrespectueux à son égard car {{pronom_minuscule}} ne ressent pas de colère particulière lorsque cela arrive",f
N3,Tristesse,la tendance à ressentir de la tristesse.,{{first_name}} ressent souvent de la tristesse et/ou de la déprime.,"{{first_name}} ne nie pas la tristesse de certains événements, ce qui facilite le processus du deuil","Pourriez-vous partager avec moi une expérience où vous avez vécu un moment triste ou décevant dans votre carrière, pendant lequel vous avez reconnu et géré cette tristesse sans la nier ?",{{pronom_majuscule}} est à même de comprendre la tristesse d'autres personnes lorsqu'{{pronom_majuscule}} y est confronté,{{first_name}} a tendance à se faire des reproches et à culpabiliser,Vous est-il déjà arrivé de vous sentir particulièrement responsable ou coupable d'une erreur en situation professionnelle ? Comment avez-vous géré cette situation ?,C’est une personne qui a une vision assez pessimiste des choses,"{{first_name}} est rarement triste ou déprimé, {{pronom_minuscule}} est également assez peu sensible au sentiment de culpabilité.",{{first_name}} ne se laisse pas décourager dans les moments difficiles,"Pouvez-vous me raconter une situation professionnelle où vous avez fait face à un défi majeur ou un échec, et comment vous avez géré ce moment pour ne pas vous laisser décourager ?",Il s’agit d’une personne résiliente qui prend du recul sur l’aspect négatif d’une situation,{{first_name}} a tendance à réprimer ses sentiments négatifs,"Avez-vous déjà éprouvé une forte frustration ou un mécontentement dans un contexte professionnel qui vous a poussé à en parler avec les parties concernées ? Si oui, pourriez-vous me décrire comment vous avez abordé cette communication ?",{{pronom_majuscule}} a du mal à comprendre les individus qui vivent des états de tristesse intense,f
N4,Timidité,la tendance à ressentir de la honte et de l’embarras.,{{first_name}} ressent facilement de la gêne en présence d'autres personnes.,{{first_name}} est particulièrement alerte quant aux situations pouvant nuire à l'image qu'{{pronom_minuscule}} renvoie aux autres,"Avez-vous déjà dû adapter votre comportement en milieu professionnel pour maintenir ou améliorer l'image que vous projetez auprès de vos collègues ou clients ? Si oui, pourriez-vous partager un exemple concret ?",{{pronom_majuscule}} évite les comportements socialement inacceptables,{{first_name}} est sensible aux situations gênantes et évite de se mettre en avant par crainte du ridicule,Pouvez-vous me raconter une situation professionnelle où vous vous êtes senti(e) mal à l'aise ou gêné(e) par la crainte du ridicule ? Comment avez-vous géré cette situation ?,{{pronom_majuscule}} peut être mal à l'aise au contact de nouvelles personnes,{{first_name}} n'est pas une personne timide et ressent rarement de la gêne en public.,{{first_name}} se sent l'aise en société et est rarement embarrassé,"Avez-vous déjà été mis au défi de parler publiquement ou de faire une présentation de manière complètement improvisée et inattendue ? Si oui, comment avez-vous géré cette situation ?",{{pronom_majuscule}} n'est pas perturbé si l'attention se porte sur {{pronom_reflechi}},{{first_name}} peut paraître sans-gêne auprès de certaines personnes,Avez-vous déjà été dans une situation professionnelle où il était crucial de peser vos mots avec un collègue ou un partenaire ? Comment avez-vous abordé cette communication ?,{{pronom_majuscule}} doit bien maîtriser les codes sociaux d'un groupe pour ne pas faire de faux pas,f
N5,Impulsivité,la tendance à ne pas contrôler ses pulsions et ses envies.,{{first_name}} cède facilement à ses envies du moment.,{{first_name}} apprécie facilement les plaisirs du moment,Donnez un exemple de fois où vous avez su saisir une occasion professionnelle en suivant votre envie du moment.,{{pronom_majuscule}} agit de manière instinctive et est très réactif,"{{first_name}} a du mal à se restreindre dans ses envies, ce qui peut le desservir dans la réalisation de ses objectifs",Comment gérez-vous les tentations comme l'usage du téléphone ou les interactions sociales au travail pour assurer que vous restez concentré et productif ?,Il est difficile pour {{pronom_reflechi}} de gérer la frustration,{{first_name}} résiste facilement à ses pulsions et envies.,{{first_name}} a un haut niveau de contrôle sur  {{pronom_reflechi}} -même,"Arrivez-vous à contrôler efficacement vos impulsions en contexte professionnel ? Si oui, comment vous y prenez-vous ?",{{pronom_majuscule}} ne cède pas à ses envies si cela peut lui porter préjudice par la suite,{{first_name}} peut avoir des difficultés à lâcher prise pour profiter du moment présent,Pourriez-vous me citer une situation où vous pensez avoir été excessivement prudent et où cela a entravé votre capacité à prendre des risques nécessaires ?,{{pronom_majuscule}} mène une vie qui peut sembler austère pour les autres,f
N6,Vulnérabilité au stress,le niveau de vulnérabilité au stress.,{{first_name}} est très sensible aux situations stressantes.,{{first_name}} a une conscience accrue des enjeux entourant les évènements,Pouvez-vous me raconter une situation professionnelle où votre perception des enjeux sous-jacents a conduit à une action ou une décision bénéfique pour votre entreprise ?,{{pronom_majuscule}} ne prend jamais à la légère les échéances et le stress qu'{{pronom_majuscule}} ressent peut l'aider à se dépasser,{{first_name}} appréhende de manière excessive les situations comportant un enjeu important,"Pouvez-vous me donner un exemple précis d'une situation professionnelle où vous avez ressenti une pression importante, et expliquer comment vous avez géré vos émotions et votre performance dans ce contexte ?",{{pronom_majuscule}} a des difficultés à faire face à des situations où la pression est forte ; {{pronom_majuscule}} est préférable de l'aider à relativiser plutôt qu'à prendre conscience des enjeux d'un évènement donné,{{first_name}} reste serein dans les situations fortement stressantes.,{{first_name}} parvient à faire face aux événements stressants sans difficulté,Pouvez-vous me donner un exemple spécifique d'une situation professionnelle particulièrement stressante que vous avez réussi à gérer efficacement ?,{{pronom_majuscule}} n'appréhende pas les situations stressantes,Le stress n'est pas un facteur de dépassement de soi pour {{first_name}},Pouvez-vous me donner un exemple spécifique d'une situation professionnelle où vous avez été confronté à un stress important ? Comment cela a-t-il influencé votre performance ou votre approche du problème ?,{{pronom_majuscule}} peut paraître insensible au niveau de gravité ou d'urgence d'une situation,f
O1,Imagination,le niveau d’intérêt et d'appréciation de l'utilisation de l'imagination.,{{first_name}} est une personne qui emploie et valorise beaucoup l'imagination.,Il s'agit d'une personne imaginative qui cherche à résoudre théoriquement les problèmes,Pourriez-vous me décrire une situation professionnelle où vous avez dû faire preuve d'une imagination exceptionnelle pour théoriser une solution à un problème que personne n'avait réussi à résoudre avant vous ?,Ses idées sont généralement originales et parfois disruptives,{{first_name}} a tendance à manquer de pragmatisme dans ses idées,Pouvez-vous me donner un exemple concret d'une situation professionnelle où vous avez dû adapter une idée créative pour la rendre plus pragmatique et réalisable ?,{{pronom_majuscule}} se perd régulièrement dans ses pensées,{{first_name}} est une personne qui sollicite et valorise peu son imagination.,Il s'agit d'une personne pragmatique qui cherche principalement à résoudre concrètement les problèmes,Pouvez-vous me raconter une situation professionnelle où vous avez brillé en trouvant une solution pragmatique à un problème ?,{{first_name}} est terre à terre et ne se perd pas dans ses pensées,{{first_name}} a tendance à manquer d'imagination et de créativité dans ses idées,Pouvez-vous me raconter une expérience professionnelle dans laquelle vous avez du être particulièrement imaginatif et créatif ?,"Lorsqu’[[li|elle]] utilise son imagination, {{pronom_minuscule}} se concentre sur les aspects concrets et a tendance à être peu original",f
O2,Ouverture à l'esthétique,le niveau d’intérêt et d'appréciation de la beauté et des arts.,{{first_name}} est une personne qui apprécie tout particulièrement l'art et l’esthétique.,{{first_name}} s'intéresse à la beauté et aux arts et dispose d'une grande palette d'expression de créativité,Pouvez-vous me citer un exemple spécifique où votre intérêt pour l'art et la créativité artistique a directement influencé la manière dont vous avez mené un projet ou une tâche dans votre environnement professionnel ?,{{pronom_majuscule}} s'émeut facilement au contact de productions artistiques de qualité et les identifie donc plus aisément,Un environnement pauvre esthétiquement nuit au bien-être de {{first_name}},"Comment l'environnement de travail, en termes d'esthétique et de design, a-t-il influencé votre bien-être et votre efficacité dans vos expériences professionnelles précédentes ?","{{first_name}} est facilement distrait par des considérations esthétiques, d'un objectif concret et pragmatique",{{first_name}} est une personne qui valorise peu l'art et l’esthétique.,{{first_name}} se focalise sur l'aspect pratique et fonctionnel des solutions qu'{{pronom_minuscule}} propose ; l'esthétique n'est pas un enjeu pour  {{pronom_reflechi}},"Considérez-vous l'esthétique comme un aspect primordial dans vos projets, ou bien est-ce que vous privilégiez avant tout la fonctionnalité ?",Un environnement de travail sobre lui convient parfaitement,{{first_name}} est une personne peu curieuse de la beauté et des arts ce qui réduit sa créativité,"Pourriez-vous me parler des loisirs ou des intérêts personnels qui ont contribué à développer votre créativité, notamment dans votre vie professionnelle ?",{{pronom_majuscule}} laisse souvent de côté la forme au profit du fond dans ses projets,f
O3,Introspection,le niveau d’intérêt et d'appréciation de l'expérience des émotions.,{{first_name}} est une personne qui valorise énormément l'emploi des émotions et leur exploration.,{{first_name}} s'intéresse beaucoup à ses émotions et a donc des facilités à les ressentir et les gérer,"Pourriez-vous me décrire une situation spécifique où vous avez dû faire un effort conscient pour comprendre et gérer vos émotions, et comment cela a influencé le résultat d'un projet ou d'une interaction professionnelle ?","De même, il s'agit d'une personne plutôt à même de comprendre et gérer les états émotionnels d'autrui, y compris les plus extrêmes",{{first_name}} a tendance à se laisser submerger par l'exploration d'émotions trop fortes,"Pouvez-vous me donner un exemple spécifique d'une situation professionnelle où vous avez ressenti des émotions intenses ? Si oui, comment avez-vous géré ces émotions pour maintenir votre efficacité au travail ?",{{pronom_majuscule}} est souvent distrait de ses tâches par l’expérience de ses émotions,{{first_name}} est une personne qui valorise peu l'exploration des émotions et la compréhension de leurs subtilités.,{{first_name}} est une personne généralement d'humeur égale,Considérez-vous que vous avez généralement une humeur stable ? Comment est-ce que votre humeur affecte votre comportement et vos performances en contexte professionnel ?,{{pronom_majuscule}} ne se laisse pas submerger par l'exploration d'émotions trop fortes,{{first_name}} ne s'intéresse pas à ses émotions et peut donc avoir du mal à les ressentir et les gérer,Pourriez-vous me donner un exemple de situation professionnelle où vous avez dû gérer des émotions difficiles ? Comment avez-vous abordé cette gestion ?,"De même, {{pronom_minuscule}} s'agit d'une personne pouvant éprouver des difficultés à comprendre et gérer les états émotionnels d'autrui",f
O4,Exploration,le niveau de tolérance au changement et d'exploration de l'inconnu.,{{first_name}} apprécie beaucoup essayer de nouvelles activités.,{{first_name}} est très à l'aise dans les environnements changeants,"Pouvez-vous me donner un exemple spécifique d'une situation professionnelle où vous avez dû vous adapter rapidement à un changement important et inattendu, et comment avez-vous géré cela ?",{{pronom_majuscule}} est toujours ouvert à découvrir de nouveaux lieux et de nouvelles activités,{{first_name}} s'ennuie dans un environnement trop stable et n'apprécie pas de suivre des protocoles préétablis,"Avez-vous déjà travaillé dans un environnement de travail très stable, avec des protocoles stricts ? Si oui, comment cela vous a-t-il affecté ? Si non, comment envisageriez-vous cette situation ?",{{pronom_majuscule}} se lasse très rapidement de la routine à tel point qu'{{pronom_majuscule}} adopte {{pronom_reflechi}}-même un mode de vie instable et changeant,{{first_name}} n'apprécie pas de s'essayer à de nouvelles activités ; {{pronom_minuscule}} préfère les habitudes à l'exploration de l'inconnu ; {{pronom_minuscule}} a tendance à favoriser la continuité de l'existant.,{{first_name}} est particulièrement à l'aise dans les environnements aux processus établis et participe à leur bon fonctionnement,Comment vous épanouissez-vous dans un environnement de travail où les règles et les processus sont clairement définis et établis ?,{{pronom_majuscule}} apprécie la routine et tire sa force de la stabilité de ses habitudes,{{first_name}} est réticent aux changements et s’adapter à des environnements en perpétuelle évolution est coûteux pour  {{pronom_reflechi}},"Pourriez-vous me décrire une situation où vous avez dû vous adapter à un changement important dans votre environnement professionnel ? Si oui, comment vous avez géré cette transition ?",{{pronom_majuscule}} a tendance à rester routinier dans ses habitudes quitte à passer à côté d’opportunités,f
O5,Ouverture aux idées,le niveau d’intérêt et d’appréciation pour les idées et la résolution de problèmes.,"{{first_name}} aime les sujets théoriques, philosophiques et/ou conceptuels.",{{first_name}} est créatif intellectuellement et ouvert aux idées originales,Pouvez-vous me décrire une situation où vous avez dû faire preuve de créativité intellectuelle pour résoudre un problème complexe dans votre parcours professionnel ?,{{pronom_majuscule}} apprécie de se pencher sur des problèmes complexes,Il est difficile pour {{first_name}} de se contenter de préoccupations pragmatiques et {{pronom_minuscule}} doit être nourri par des sujets théoriques ou complexes,"Dans votre expérience professionnelle, avez-vous déjà été confronté à une situation où vous deviez vous concentrer uniquement sur des tâches pragmatiques et routinières ? Si oui, comment avez-vous géré cette situation et quels ont été vos ressentis à ce moment-là ?",{{pronom_majuscule}} peut avoir des intérêts intellectuels volatiles,"{{first_name}} n'apprécie pas les sujets théoriques, abstraits et/ou conceptuels.",{{first_name}} n'apprécie pas les débats et analyses sans fin et se concentre sur les actions concrètes,"Dans votre carrière, avez-vous tendance à privilégier les analyses et débats détaillés ou à favoriser une action rapide ? Je vous invite à illustrer votre réponse par un exemple concret tiré de votre expérience professionnelle.",Il s'agit d'une personne qui s'intéresse à un nombre de sujets intellectuels restreints et qui concentre son énergie dessus ; {{pronom_minuscule}} est susceptible d'être expert de son domaine,{{first_name}} peut avoir des réticences à aborder des sujets conceptuels,Pouvez-vous me donner un exemple concret où vous avez dû vous plonger dans un sujet conceptuel dans votre environnement professionnel ? Comment vous avez géré cette expérience ?,{{pronom_majuscule}} n'a pas particulièrement de curiosité pour les sujets intellectuels et les idées originales,f
